QKEY,pre_accuracy,pre_percentile,pre_average_difficulty,pre_self_difficulty,Q1_W1,Q2_W1,Q3_W1,Q4_W1,Q5_W1,Q6_W1,Q7_W1,Q8_W1,Q9_W1,Q10_W1,Q11_W1,Q12_W1,Q13_W1,Q14_W1,Q15_W1,Q16_W1,Q17_W1,Q18_W1,Q19_W1,Q20_W1,post_accuracy,post_percentile,post_average_difficulty,post_self_difficulty,WEIGHT_W1
2000001,4,50,6,6,2,1,2,1,5,4,3,3,2,5,1,5,3,2,1,2,2,3,5,1,3,12,9,9,1.0
2000002,12,59,5,3,2,2,1,3,3,1,1,2,2,5,3,2,4,1,1,1,2,3,4,4,9,50,5,4,1.0
2000003,13,79,3,3,2,2,2,1,1,5,3,1,2,1,3,1,2,3,4,2,2,4,4,1,12,73,3,3,1.0
2000004,15,78,4,3,2,2,1,3,1,5,2,2,1,5,3,4,1,1,5,5,1,1,4,1,14,60,5,5,1.0
2000005,10,50,4,7,2,3,1,3,3,4,3,2,1,5,5,4,1,2,4,1,5,1,4,3,5,35,3,8,1.0
2000006,11,39,4,7,3,2,5,5,3,5,3,3,2,5,1,5,1,2,5,3,5,1,5,3,5,19,4,9,1.0
2000007,15,71,4,5,3,2,1,3,3,5,3,2,2,5,1,2,1,4,3,1,1,1,4,5,8,14,5,8,1.0
2000008,10,40,5,6,2,2,1,3,3,5,1,3,1,5,1,1,1,2,4,1,4,1,1,4,10,50,6,8,1.0
2000009,13,70,5,2,2,5,3,3,1,5,3,2,3,5,1,4,1,2,4,3,2,1,3,4,11,30,5,6,1.0
2000010,18,62,4,5,1,2,1,3,4,3,4,1,1,5,1,2,1,2,1,5,2,1,4,1,16,52,6,6,1.0
2000011,18,60,4,3,2,2,1,3,3,5,2,2,3,5,2,4,5,2,4,1,5,1,4,3,15,53,3,4,1.0
2000012,20,98,1,1,3,1,3,3,3,4,1,5,3,5,1,5,5,2,4,1,5,1,1,1,18,91,2,2,1.0
2000013,15,50,5,3,2,3,3,3,1,5,1,2,1,5,3,4,5,4,2,5,5,5,4,3,10,30,6,8,1.0
2000014,17,82,6,6,5,4,1,4,2,4,1,3,3,5,3,1,3,1,2,4,2,4,2,3,10,63,7,9,1.0
2000015,19,80,5,2,3,2,1,3,3,5,3,2,2,5,2,4,1,2,4,1,2,2,4,1,17,80,5,3,1.0
2000016,18,70,4,3,4,2,1,3,3,5,4,2,4,5,2,4,5,2,4,5,5,1,4,5,14,60,6,5,1.0
2000017,18,90,2,2,1,3,3,5,1,5,1,1,3,5,3,3,5,2,4,5,4,2,5,3,10,90,5,5,1.0
2000018,10,50,5,5,1,1,1,5,4,5,4,1,3,5,1,5,3,5,5,1,5,1,4,1,1,14,5,5,1.0
2000019,10,73,2,2,4,2,1,5,3,5,3,4,1,5,1,4,1,4,5,1,4,2,1,3,10,61,3,3,1.0
2000020,12,50,6,8,4,2,3,4,2,5,3,2,1,4,3,2,3,2,4,5,5,1,4,5,11,44,7,10,1.0
2000021,12,60,7,5,3,2,3,3,3,5,3,1,2,5,5,2,5,2,4,4,2,1,4,4,8,50,6,5,1.0
2000022,15,50,5,6,2,1,3,3,1,5,4,2,1,5,2,4,3,2,4,1,1,1,4,2,15,50,5,5,1.0
